id,verification_url,name,x_username,totalPL,ROI,total_capital,date
9068,https://t.co/WLDKEexrE8,Gokulraj,@Gokulraj0077,-4617.0,-0.35%,13.23L,2024-07-04
9130,https://t.co/WLkaemysEt,Hitesh Suthar,@HiteshS03,-4032.0,,,2024-07-04
9059,https://t.co/mR8PfbJQya,Nifty50 Man,@nifty50man,-3492.0,,,2024-07-04
9149,https://t.co/VIPZ8kxMlE,Mohit Sharma,@Mohitsharma202,-3415.0,,,2024-07-04
9123,https://t.co/NUmmHHCd5S,AT,@1Lto1CR,-2764.0,,,2024-07-04
9028,https://t.co/EgzkbB9Lrw,Hemant,@ihemnt96,-2714.0,,,2024-07-04
9121,https://t.co/ZH1IvXWW80,Rahul Patidar,@RahulPatidar_MD,-2403.0,-6%,"38,299",2024-07-04
9042,https://t.co/fznJKgi2zF,Sachin Sival,@sachinsiwalRE,-1837.0,,,2024-07-04
9110,https://t.co/ez3fDy9C3F,aniket,@SrkaniketAniket,-1688.0,-0.97%,1.74L,2024-07-04
9085,https://t.co/6oBMlwd75W,Kulpreet Singh,@Kulpreetsingh21,-1577.0,-1.2%,1.35L,2024-07-04
9129,https://t.co/kMOOlNR02T,anaonymous,@giga_chad192003,-1066.0,-1.3%,"79,030",2024-07-04
9133,https://t.co/FGWr0zFJ6L,NALAYAK,@NALAYAK_21,-788.0,-7%,"11,958",2024-07-04
9047,https://t.co/JT10BwA53j,Akshay Kshirsagar,@Akshayk21996,-717.0,-1.2%,"61,226",2024-07-04
9114,https://t.co/NLBU0QHUtq,AspiringTrader,@AspiringTrade90,-40.0,,,2024-07-04
9139,https://t.co/0BF1ouHx5S,Devil's Trading Zone,@dtradingz,52.0,,,2024-07-04
9036,https://t.co/RhA7TlkyT2,w1nny,@w1nny___,96.0,,,2024-07-04
9099,https://t.co/aK1GjkwIPD,Option Hulk,@OptionHulk,274.0,,,2024-07-04
9140,https://t.co/CZe6bh2bnL,Markets_Data_Insights,@Markets_Data,318.0,,,2024-07-04
9037,https://t.co/odx2GqlCJw,Div Infinity,@div_Infinity,404.0,+0.2%,2.04L,2024-07-04
9146,https://t.co/reXQyWXnPa,Div Infinity,@div_Infinity,404.0,+0.2%,2.04L,2024-07-04
9102,https://t.co/CabvgP7XXa,Divya Sreejith,@DivyaSDR0110,416.0,+0.18%,2.35L,2024-07-04
9044,https://t.co/n8ohOjHIz3,The Rich Trader,@_TheRichTrader,544.0,,,2024-07-04
9049,https://t.co/HKpF9IGF4g,UDHAYAPRAKASH J,@WKaps16871,644.0,,,2024-07-04
9062,https://t.co/yXGPoPbJtR,Chiranjeevi,@Chiru7090,717.0,+0.65%,1.11L,2024-07-04
9021,https://t.co/cRjV23UraC,Naruto 🐎,@Aravind_1831,963.0,+0.34%,2.85L,2024-07-04
9134,https://t.co/HPlzvhk8uA,Deep Agrahari,@ADeep05,1154.0,,,2024-07-04
